countryCode,monitoringSiteIdentifier,monitoringSiteIdentifierScheme,parameterWaterBodyCategory,observedPropertyDeterminandCode,observedPropertyDeterminandLabel,procedureAnalysedMatrix,resultUom,phenomenonTimeReferenceYear,parameterSamplingPeriod,procedureLOQValue,resultNumberOfSamples,resultQualityNumberOfSamplesBelowLOQ,resultQualityMinimumBelowLOQ,resultMinimumValue,resultQualityMeanBelowLOQ,resultMeanValue,resultQualityMaximumBelowLOQ,resultMaximumValue,resultQualityMedianBelowLOQ,resultMedianValue,resultStandardDeviationValue,procedureAnalyticalMethod,parameterSampleDepth,resultObservationStatus,remarks,metadata_versionId,metadata_beginLifeSpanVersion,metadata_statusCode,metadata_observationStatus,UID
AT,ATPG71501032,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166200
AT,ATPG71501082,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166201
AT,ATPG71501092,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166202
AT,ATPG71501112,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166203
AT,ATPG40101012,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,0.06,0,0.06,0,0.06,0,0.06,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,U,11166204
AT,ATPG40301082,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,0.06,0,0.06,0,0.06,0,0.06,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,U,11166205
AT,ATPG41805022,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,0.06,0,0.06,0,0.06,0,0.06,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,U,11166206
AT,ATPG41812072,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,0.06,0,0.06,0,0.06,0,0.06,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,U,11166207
AT,ATPG71501042,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,0.06551,0,0.06551,0,0.06551,0,0.06551,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,U,11166208
AT,ATPG41713022,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,0.07,0,0.07,0,0.07,0,0.07,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,U,11166209
AT,ATPG51211932,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.01,1,0,0,0.07,0,0.07,0,0.07,0,0.07,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166210
