countryCode,monitoringSiteIdentifier,monitoringSiteIdentifierScheme,parameterWaterBodyCategory,observedPropertyDeterminandCode,observedPropertyDeterminandLabel,procedureAnalysedMatrix,resultUom,phenomenonTimeReferenceYear,parameterSamplingPeriod,procedureLOQValue,resultNumberOfSamples,resultQualityNumberOfSamplesBelowLOQ,resultQualityMinimumBelowLOQ,resultMinimumValue,resultQualityMeanBelowLOQ,resultMeanValue,resultQualityMaximumBelowLOQ,resultMaximumValue,resultQualityMedianBelowLOQ,resultMedianValue,resultStandardDeviationValue,procedureAnalyticalMethod,parameterSampleDepth,resultObservationStatus,remarks,metadata_versionId,metadata_beginLifeSpanVersion,metadata_statusCode,metadata_observationStatus,UID
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_3424-82-6,"o,p'-DDE",W,ug/L,2014,2014-02-24--2014-11-17,0.002,6,6,1,0.002,1,0.002,1,0.002,1,0.002,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139630
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_41318-75-6,"BDE 28 (2,4,4'-tribromodiphenyl ether)",W,ug/L,2014,2014-02-24--2014-11-17,0.0001,6,3,1,0.0001,1,0.0001,1,0.0001,1,0.0001,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139631
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_465-73-6,Isodrin,W,ug/L,2014,2014-02-24--2014-11-17,0.002,6,6,1,0.002,1,0.002,1,0.002,1,0.002,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139632
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_470-90-6,Chlorfenvinphos,W,ug/L,2014,2014-02-24--2014-11-17,0.002,6,6,1,0.002,1,0.002,1,0.002,1,0.002,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139633
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_50-29-3,"DDT, p,p'",W,ug/L,2014,2014-02-24--2014-11-17,0.002,6,6,1,0.002,1,0.002,1,0.002,1,0.002,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139634
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_50-32-8,Benzo(a)pyrene,W,ug/L,2014,2014-02-24--2014-11-17,0.002,6,6,1,0.002,1,0.002,1,0.002,1,0.002,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139635
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_51235-04-2,Hexazinone,W,ug/L,2014,2014-02-24--2014-11-17,0.005,6,6,1,0.005,1,0.005,1,0.005,1,0.005,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139636
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_53-19-0,"o,p'-DDD",W,ug/L,2014,2014-02-24--2014-11-17,0.002,6,6,1,0.002,1,0.002,1,0.002,1,0.002,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139637
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_53-70-3,"Dibenzo(a,h)anthracene",W,ug/L,2014,2014-02-24--2014-11-17,0.002,6,6,1,0.002,1,0.002,1,0.002,1,0.002,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139638
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_541-73-1,"1,3-dichlorobenzene",W,ug/L,2014,2014-02-24--2014-11-17,0.1,6,6,1,0.1,1,0.1,1,0.1,1,0.1,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139639
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_5436-43-1,"BDE 47 (2,2’,4,4’-tetrabromodiphenyl ether)",W,ug/L,2014,2014-02-24--2014-11-17,0.0001,6,6,1,0.0001,1,0.0001,1,0.0001,1,0.0001,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139640
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_56-23-5,Carbon tetrachloride,W,ug/L,2014,2014-02-24--2014-11-17,0.1,6,6,1,0.1,1,0.1,1,0.1,1,0.1,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139641
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_563-58-6,"1,1-dichloropropene",W,ug/L,2014,2014-02-24--2014-11-17,0.1,6,6,1,0.1,1,0.1,1,0.1,1,0.1,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139642
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_56-55-3,Benzo(a)anthracene,W,ug/L,2014,2014-02-24--2014-11-17,0.002,6,5,1,0.002,1,0.002,0,0.004,1,0.002,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139643
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_58-89-9,Gamma-HCH (Lindane),W,ug/L,2014,2014-02-24--2014-11-17,0.002,6,6,1,0.002,1,0.002,1,0.002,1,0.002,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139644
